Permutation,ErrorAbs
"x1 x2 x3 x4 x5",0,137
"x2 x1 x3 x4 x5",0,137
"x3 x1 x2 x4 x5",0,137
"x1 x3 x2 x4 x5",0,137
"x2 x3 x1 x4 x5",0,137
"x3 x2 x1 x4 x5",0,137
"x4 x2 x1 x3 x5",0,137
"x2 x4 x1 x3 x5",0,137
"x1 x4 x2 x3 x5",0,137
"x4 x1 x2 x3 x5",0,137
"x2 x1 x4 x3 x5",0,137
"x1 x2 x4 x3 x5",0,137
"x1 x3 x4 x2 x5",0,137
"x3 x1 x4 x2 x5",0,137
"x4 x1 x3 x2 x5",0,137
"x1 x4 x3 x2 x5",0,137
"x3 x4 x1 x2 x5",0,137
"x4 x3 x1 x2 x5",0,137
"x4 x3 x2 x1 x5",0,137
"x3 x4 x2 x1 x5",0,137
"x2 x4 x3 x1 x5",0,137
"x4 x2 x3 x1 x5",0,137
"x3 x2 x4 x1 x5",0,137
"x2 x3 x4 x1 x5",0,137
"x5 x3 x4 x1 x2",17,120
"x3 x5 x4 x1 x2",17,120
"x4 x5 x3 x1 x2",17,120
"x5 x4 x3 x1 x2",17,120
"x3 x4 x5 x1 x2",17,120
"x4 x3 x5 x1 x2",17,120
"x1 x3 x5 x4 x2",147,10
"x3 x1 x5 x4 x2",147,10
"x5 x1 x3 x4 x2",137,0
"x1 x5 x3 x4 x2",137,0
"x3 x5 x1 x4 x2",147,10
"x5 x3 x1 x4 x2",147,10
"x5 x4 x1 x3 x2",7,130
"x4 x5 x1 x3 x2",7,130
"x1 x5 x4 x3 x2",137,0
"x5 x1 x4 x3 x2",137,0
"x4 x1 x5 x3 x2",7,130
"x1 x4 x5 x3 x2",7,130
"x1 x4 x3 x5 x2",17,120
"x4 x1 x3 x5 x2",17,120
"x3 x1 x4 x5 x2",17,120
"x1 x3 x4 x5 x2",17,120
"x4 x3 x1 x5 x2",17,120
"x3 x4 x1 x5 x2",17,120
"x2 x4 x1 x5 x3",-10,147
"x4 x2 x1 x5 x3",-10,147
"x1 x2 x4 x5 x3",-10,147
"x2 x1 x4 x5 x3",-10,147
"x4 x1 x2 x5 x3",-10,147
"x1 x4 x2 x5 x3",-10,147
"x5 x4 x2 x1 x3",-10,147
"x4 x5 x2 x1 x3",-10,147
"x2 x5 x4 x1 x3",-10,147
"x5 x2 x4 x1 x3",-10,147
"x4 x2 x5 x1 x3",-10,147
"x2 x4 x5 x1 x3",-10,147
"x2 x1 x5 x4 x3",120,17
"x1 x2 x5 x4 x3",120,17
"x5 x2 x1 x4 x3",120,17
"x2 x5 x1 x4 x3",120,17
"x1 x5 x2 x4 x3",137,0
"x5 x1 x2 x4 x3",137,0
"x5 x1 x4 x2 x3",137,0
"x1 x5 x4 x2 x3",137,0
"x4 x5 x1 x2 x3",7,130
"x5 x4 x1 x2 x3",7,130
"x1 x4 x5 x2 x3",7,130
"x4 x1 x5 x2 x3",7,130
"x3 x1 x5 x2 x4",147,10
"x1 x3 x5 x2 x4",147,10
"x5 x3 x1 x2 x4",147,10
"x3 x5 x1 x2 x4",147,10
"x1 x5 x3 x2 x4",137,0
"x5 x1 x3 x2 x4",137,0
"x2 x1 x3 x5 x4",130,7
"x1 x2 x3 x5 x4",130,7
"x3 x2 x1 x5 x4",130,7
"x2 x3 x1 x5 x4",130,7
"x1 x3 x2 x5 x4",130,7
"x3 x1 x2 x5 x4",130,7
"x3 x5 x2 x1 x4",130,7
"x5 x3 x2 x1 x4",130,7
"x2 x3 x5 x1 x4",130,7
"x3 x2 x5 x1 x4",130,7
"x5 x2 x3 x1 x4",130,7
"x2 x5 x3 x1 x4",130,7
"x2 x5 x1 x3 x4",120,17
"x5 x2 x1 x3 x4",120,17
"x1 x2 x5 x3 x4",120,17
"x2 x1 x5 x3 x4",120,17
"x5 x1 x2 x3 x4",137,0
"x1 x5 x2 x3 x4",137,0
"x4 x5 x2 x3 x1",0,137
"x5 x4 x2 x3 x1",0,137
"x2 x4 x5 x3 x1",0,137
"x4 x2 x5 x3 x1",0,137
"x5 x2 x4 x3 x1",0,137
"x2 x5 x4 x3 x1",0,137
"x3 x5 x4 x2 x1",0,137
"x5 x3 x4 x2 x1",0,137
"x4 x3 x5 x2 x1",0,137
"x3 x4 x5 x2 x1",0,137
"x5 x4 x3 x2 x1",0,137
"x4 x5 x3 x2 x1",0,137
"x4 x2 x3 x5 x1",0,137
"x2 x4 x3 x5 x1",0,137
"x3 x4 x2 x5 x1",0,137
"x4 x3 x2 x5 x1",0,137
"x2 x3 x4 x5 x1",0,137
"x3 x2 x4 x5 x1",0,137
"x3 x2 x5 x4 x1",0,137
"x2 x3 x5 x4 x1",0,137
"x5 x3 x2 x4 x1",0,137
"x3 x5 x2 x4 x1",0,137
"x2 x5 x3 x4 x1",0,137
"x5 x2 x3 x4 x1",0,137
